iso3,"HHCM, no PT_none",PT to <15_Dlm,PT to <15_Lfx,PT to <5/HIV+_Dlm,PT to <5/HIV+_Lfx,PT to <5/HIV+/TST+_Dlm,PT to <5/HIV+/TST+_Lfx
GUM, 4921, 5271, 5618, 4510, 4994, 4653, 5129
JPN, 1439, 2570, 2231, 1684, 1656, 1879, 1797
FRA, 5497, 5449, 5239, 4803, 4892, 4919, 4961
ISR, 6168, 6113, 5928, 5541, 5609, 5655, 5681
GBR, 5703, 5714, 5629, 5031, 5233, 5156, 5315
ARE,10127, 9291, 9192, 8826, 9000, 8883, 9013
BEL, 4044, 4490, 4751, 3713, 4108, 3860, 4253
DEU, 6311, 6260, 6296, 5510, 5817, 5635, 5906
HKG, 5584, 5791, 5401, 5101, 5059, 5223, 5119
FIN, 2426, 3488, 3161, 2592, 2567, 2785, 2707
AUT, 6860, 6720, 6616, 6024, 6206, 6141, 6281
NLD, 9941, 9200, 9061, 8578, 8749, 8667, 8788
SWE, 7932, 7745, 7326, 7081, 7002, 7198, 7058
AUS, 2907, 3857, 3486, 2967, 2919, 3160, 3053
DNK, 9574, 9016, 8828, 8404, 8497, 8502, 8549
USA, 3762, 4944, 4474, 3690, 3656, 3942, 3830
QAT, 1480, 2655, 2399, 1737, 1734, 1922, 1875
SGP, 2445, 3618, 3202, 2580, 2512, 2780, 2648
IRL,13623,12755,12551,11883,12018,12009,12087
NOR,10427, 9733, 9735, 9089, 9331, 9192, 9398
CHE, 4719, 5924, 5910, 4718, 4891, 4960, 5110
MAC, 4232, 5377, 4990, 4202, 4149, 4422, 4307
